שנה,קוד רמה 1,שם רמה 1,קוד רמה 2,שם רמה 2,קוד סוג סעיף,שם סוג סעיף,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תכנית,שם תכנית,קוד תקנה,שם תקנה,קוד מיון רמה 1,שם מיון רמה 1,קוד מיון רמה 2,שם מיון רמה 2,הוצאה/הכנסה,פשח,הוצאה נטו,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1511,הוצאות ביטחון,151103,עתודה להסכמים,15110301,רזרבה להסכמים קואליציוניים,2,קניות,173,רזרבה,הוצאה,0,21000,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120101,תגמול בסיסי,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,953701,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120102,תגמול נצרך ומיוחד,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,394250,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120103,תגמולים נוספים,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,357076,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120104,הטבות רכב מאגף שיקום,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,510138,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120105,הטבות נוספות מאגף שיקום,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,282482,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120106,טיפול רפואי,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,498221,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120107,טיפול סוציאלי,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,55898,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120108,ליווי אישי,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,705706,,,,,,,,,,,,,,,,,
2022,1,בטחון וסדר ציבורי,11,בטחון,1,תקציב רגיל,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120109,תגמול הורים שכולים,3,העברות,34,תשלומי העברה סוציאליים,הוצאה,0,590128,,,,,,,,,,,,,,,,,
